Part,Table,Key,Key POC,Field,Type (example),Relationship (Table:FK Table),Connectivity (select dropdown),Defining relationship (Select dropdown),Relationship name,Optional tag,Notes,status,date,,Part,Count of Table,Count of Field,POC,,To-do,Task,Example,,Relationship,Connectivity,Defining relationship
PART 1: USER,User,PK,,user_id,INT,,,,,,generated by system,,,,PART 1: USER,3,23,Quan,,1,"Check PK, FK, PFK",,,Many:1,Mandatory:Mandatory,Yes (Dash line)
PART 1: USER,,FK ? Photo,,profile_photo_id,INT,1:1,Optional:Mandatory,,,,optional,,,,PART 2: SPECIES,4,11,Kevin,,2,Relationship participation,Many:1 AND (Mandatory or Optional),,Many:Many,Mandatory:Optional,No (Normal)
PART 1: USER,,,,given_name,VARCHAR(45),,,,,,,,,,PART 3: STAFF,2,10,Kevin,,3,Cardinality,(1:4) OR (1:1),,1:Many,Optional:Optional,
PART 1: USER,,,,family_name,VARCHAR(45),,,,,,,,,,PART 4: SOCIAL,3,16,Quan,,4,Strong/weak defining,Connected/dash line AND with title,,1:1,Optional:Mandatory,
PART 1: USER,,,,year_of_birth,INT,,,,,,,,,,PART 5: GROUP,5,18,Kevin,,5,"Check all limitations, requirements, rules","Max 3 photos (injured part), 1 sighting = 1 photo, etc.",,,,
PART 1: USER,,,,email,VARCHAR(60),,,,,,unique,,,,PART 6: INJURY,5,32,Wenhai,,6,Normalise to 3NF,,,,,
PART 1: USER,,,,password,VARCHAR(60),,,,,,,,,,PART 7: EDUCATION,5,37,Dina,,7,Specify FK is not null or ok,,,,,
PART 1: USER,,,,bio,TEXT,,,,,,optional,,,,Grand Total,27,147,,,8,Might use CHAR for fields with exact letter count,"(eg: postcode, state)",,,,
PART 1: USER,Sighting,PK,,sighting_id,INT,,,,,,"surrogate key instead of (user, lat, long, datetime)",,,,,,,,,,All photos need description,,,,,
PART 1: USER,,FK ? User,,user_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,Multiple photos in a single reply,,,,,
PART 1: USER,,FK ? Species,,species_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,Default all items to Not Null unless specified otherwise (eg; optional),,,,,
PART 1: USER,,FK ? Photo,,sighting_photo_id,INT,1:1,Optional:Mandatory,No (Normal),,,,move FK from photo to sighting,25/03/2026,,,,,,,,,,,,,
PART 1: USER,,,,sighting_datetime,DATETIME,,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,latitude,"DECIMAL(9,6)",,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,longitude,"DECIMAL(9,6)",,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,notes,TEXT,,,,,,optional,,,,Type Example,1. VARCHAR type variance for each field,,,,,,,,,,
PART 1: USER,Photo,PK,,photo_id,INT,,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,file_extension,VARCHAR(10),,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,description,TEXT,,,,,,,added photo_description,26/03/2026,,,,,,,,,,,,,
PART 1: USER,,,,file_size,INT,,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,device,VARCHAR(255),,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,creation_datetime,DATETIME,,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,width,INT,,,,,,,,,,,,,,,,,,,,,
PART 1: USER,,,,height,INT,,,,,,,,,,,,,,,,,,,,,
PART 2: SPECIES,Genus,PK,,genus_id,INT,,,,,,generated ID,,,,,,,,,,,,,,,
PART 2: SPECIES,,,,genus_name,VARCHAR(100),,,,,,unique genus name,,,,,,,,,,,,,,,
PART 2: SPECIES,Species,PK,,species_id,INT,,,,,,"28,000 species",,,,,,,,,,,,,,,
PART 2: SPECIES,,FK ? Genus,,genus_id,INT,Many:1,Mandatory:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 2: SPECIES,,FK ? Photo,Quan,species_photo_id,INT,,,,,,optional,,,,,,,,,,,,,,,
PART 2: SPECIES,,,,species_name,VARCHAR(100),,,,,,,,,,,,,,,,,,,,,
PART 2: SPECIES,,,,description,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 2: SPECIES,SpeciesCommonName,PFK ? Species,,species_id,INT,Many:1,Mandatory:Mandatory,Yes (Dash line),,,,,,,,,,,,,,,,,,
PART 2: SPECIES,,PK,,common_name,VARCHAR(100),,,,,,species may have many,,,,,,,,,,,,,,,
PART 2: SPECIES,SpeciesDistribution,PFK ? Species,,species_id,INT,Many:1,Mandatory:Mandatory,Yes (Dash line),,,,,,,,,,,,,,,,,,
PART 2: SPECIES,,PK,,state,VARCHAR(45),,,,,,"e.g. VIC, NSW",,,,2. Specify FK is not null or ok,,,,,,,,,,,
PART 3: STAFF,Staff,PK,,staff_id,INT,,,,,,,,,,"3. Might use CHAR for fields with exact letter count (eg: postcode, state)",,,,,,,,,,,
PART 3: STAFF,,,,first_name,VARCHAR(45),,,,,,,,,,,,,,,,,,,,,
PART 3: STAFF,,,,last_name,VARCHAR(45),,,,,,,,,,,,,,,,,,,,,
PART 3: STAFF,,,,email,VARCHAR(60),,,,,,,,,,,,,,,,,,,,,
PART 3: STAFF,,,,mobile,VARCHAR(45),,,,,,,,,,,,,,,,,,,,,
PART 3: STAFF,SpeciesChangeLog,PFK ? Species,,species_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,remove surrogate key,26/03/2026,,,,,,,,,,,,,
PART 3: STAFF,,PFK ? Staff,,staff_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 3: STAFF,,PK,,change_datetime,DATETIME,,,,,,,,,,,,,,,,,,,,,
PART 3: STAFF,,,,comment,TEXT,,,,,,reason for change,,,,,,,,,,,,,,,
PART 4: SOCIAL,Following,PFK ? User,,follower_id,INT,Many:1,Optional:Mandatory,Yes (Dash line),,,"current model capture latest state, history version could use surrogate key",,,,,,,,,,,,,,,
PART 4: SOCIAL,,PFK ? User,,followed_id,INT,Many:1,Optional:Mandatory,Yes (Dash line),,,,,,,,,,,,,,,,,,
PART 4: SOCIAL,,PK,,start_datetime,DATETIME,,,,,,,,,,,,,,,,,,,,,
PART 4: SOCIAL,,,,end_datetime,DATETIME,,,,,,nullable,,,,,,,,,,,,,,,
PART 4: SOCIAL,Like,PFK ? User,,user_id,INT,Many:1,Optional:Mandatory,Yes (Dash line),,,"current model capture latest state, history version could use surrogate key",,,,,,,,,,,,,,,
PART 4: SOCIAL,,PFK ? Sighting,,sighting_id,INT,Many:1,Optional:Mandatory,Yes (Dash line),,,,,,,,,,,,,,,,,,
PART 4: SOCIAL,,PK,,like_datetime,DATETIME,,,,,,,,,,,,,,,,,,,,,
PART 4: SOCIAL,,,,unlike_datetime,DATETIME,,,,,,nullable,,,,,,,,,,,,,,,
PART 4: SOCIAL,Comment,PK,,comment_id,INT,,,,,,surrogate key as needed for recursive connection (replied comment),,,,,,,,,,,,,,,
PART 4: SOCIAL,,FK ? User,,user_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 4: SOCIAL,,FK ? Sighting,,sighting_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 4: SOCIAL,,FK ? Comment,,parent_comment_id,INT,Many:1,Optional:Mandatory,No (Normal),,,recursive rela - nullable (not null for replies),,,,,,,,,,,,,,,
PART 4: SOCIAL,,FK ? Photo,,comment_photo_id,INT,,,,,,,,,,,,,,,,,,,,,
PART 4: SOCIAL,,,,content,TEXT,,,,,,"text, image, or both",,,,,,,,,,,,,,,
PART 4: SOCIAL,,,,datetime,DATETIME,,,,,,,,,,,,,,,,,,,,,
